STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ADJUSTMENT,Adjustment,POLLUTANT,Pollutants,SOURCE,Source,VESSEL,Vessel,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,AZE,Azerbaijan,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,41343.994039214,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,BHS,Bahamas,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,29606.1972228315,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,BHR,Bahrain,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,8170.20538252881,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,GGY,Bailiwick of Guernsey,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,3549.46451567918,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,BGD,Bangladesh,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,173478.601535753,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,BRB,Barbados,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,5168.70242092819,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,BLZ,Belize,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,7119.33474832385,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,BMU,Bermuda,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,538709.406874394,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,BRA,Brazil,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,447359.879848843,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,VGB,British Virgin Islands,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,78440.9997156936,,,,0,Units,0,Zero
